time,lat,lon,wind_speed,temp_air,dhi,dirhi,dni,P,ghi
2015-07-26 17:15:00+00:00,52.46911239624024,13.56728458404541,2.3216423988342285,20.212609863281273,74.9431381225586,96.59884643554688,374.25439453125,100320.71875,171.54198455810547
2015-07-26 17:45:00+00:00,52.46911239624024,13.56728458404541,1.7439701557159424,19.819390869140648,64.47708892822266,38.93362045288086,208.52273559570312,100315.9609375,103.41070938110352
2015-07-26 18:15:00+00:00,52.46911239624024,13.56728458404541,1.2524912357330322,19.337243652343773,39.621768951416016,12.384270668029785,109.32293701171876,100298.125,52.0060396194458
2015-07-26 18:45:00+00:00,52.46911239624024,13.56728458404541,1.268342137336731,18.814172363281273,14.540669441223145,0.9189630746841432,15.099056243896484,100287.546875,15.459632515907288
2015-07-26 19:15:00+00:00,52.46911239624024,13.56728458404541,1.4954856634140017,18.270074462890648,0.02968853712081909,1.4335333830097546e-15,7.932920813302768e-13,100286.984375,0.02968853712082052
2015-07-26 19:45:00+00:00,52.46911239624024,13.56728458404541,1.4257860183715818,17.800317382812523,0.0,0.0,0.0,100277.5546875,0.0
2015-07-26 20:15:00+00:00,52.46911239624024,13.56728458404541,1.3191900253295898,17.416589355468773,0.0,0.0,0.0,100268.6328125,0.0
2015-07-26 20:45:00+00:00,52.46911239624024,13.56728458404541,1.5717825889587402,17.033776855468773,0.0,0.0,0.0,100253.3671875,0.0
2015-07-26 21:15:00+00:00,52.46911239624024,13.56728458404541,1.7385104894638062,16.669335937500023,0.0,0.0,0.0,100234.703125,0.0
2015-07-26 21:45:00+00:00,52.46911239624024,13.56728458404541,1.6748783588409424,16.360711669921898,0.0,0.0,0.0,100209.6640625,0.0
2015-07-26 22:15:00+00:00,52.46911239624024,13.56728458404541,1.6596555709838867,16.073205566406273,0.0,0.0,0.0,100174.953125,0.0
2015-07-26 22:45:00+00:00,52.46911239624024,13.56728458404541,1.879804730415344,16.026666259765648,0.0,0.0,0.0,100143.3984375,0.0
2015-07-26 23:15:00+00:00,52.46911239624024,13.56728458404541,2.1877808570861816,15.998223876953148,0.0,0.0,0.0,100104.96875,0.0
2015-07-26 23:45:00+00:00,52.46911239624024,13.56728458404541,2.4409279823303223,15.993371582031273,0.0,0.0,0.0,100061.0078125,0.0
2015-07-27 00:15:00+00:00,52.46911239624024,13.56728458404541,2.4357001781463623,15.917382812500023,0.0,0.0,0.0,100006.8203125,0.0
2015-07-27 00:45:00+00:00,52.46911239624024,13.56728458404541,2.4771728515625,15.820733642578148,0.0,0.0,0.0,99957.7890625,0.0
2015-07-27 01:15:00+00:00,52.46911239624024,13.56728458404541,2.2853963375091557,15.821466064453148,0.0,0.0,0.0,99926.8515625,0.0
2015-07-27 01:45:00+00:00,52.46911239624024,13.56728458404541,2.2470149993896484,15.857415771484398,0.0,0.0,0.0,99909.5859375,0.0
2015-07-27 02:15:00+00:00,52.46911239624024,13.56728458404541,2.4763827323913574,15.996026611328148,0.0,0.0,0.0,99888.828125,0.0
2015-07-27 02:45:00+00:00,52.46911239624024,13.56728458404541,2.370126724243164,16.144494628906273,0.0,0.0,0.0,99850.625,0.0
2015-07-27 03:15:00+00:00,52.46911239624024,13.56728458404541,2.0520825386047363,16.037469482421898,0.1808884888887405,3.549946295867467e-28,3.3493163572522167e-26,99808.9609375,0.1808884888887405
2015-07-27 03:45:00+00:00,52.46911239624024,13.56728458404541,2.2522902488708496,16.004663085937523,6.411004066467285,6.026030369143953e-11,7.821921443884604e-10,99808.1796875,6.411004066527545
2015-07-27 04:15:00+00:00,52.46911239624024,13.56728458404541,2.1253132820129395,15.996087646484398,18.94757843017578,7.24870758972429e-08,5.48485616036487e-07,99789.3359375,18.947578502662857
2015-07-27 04:45:00+00:00,52.46911239624024,13.56728458404541,1.9546178579330444,16.032556152343773,33.705795288085945,6.63742048345739e-06,2.9394319426501173e-05,99774.90625,33.70580192550643
2015-07-27 05:15:00+00:00,52.46911239624024,13.56728458404541,1.5875710248947144,16.198144531250023,54.79219436645508,0.0006464222096838058,0.00219995086081326,99749.3359375,54.79284078866476
2015-07-27 05:45:00+00:00,52.46911239624024,13.56728458404541,1.8721866607666016,16.652642822265648,92.93356323242188,0.05994400382041931,0.1707075834274292,99735.8046875,92.9935072362423
2015-07-27 06:15:00+00:00,52.46911239624024,13.56728458404541,2.1490125656127934,17.108514404296898,91.36878967285156,0.007419243920594455,0.01801114715635776,99716.9921875,91.37620891677216
2015-07-27 06:45:00+00:00,52.46911239624024,13.56728458404541,3.3063335418701167,17.394830322265648,104.990234375,0.0236087366938591,0.04691515862941742,99707.515625,105.01384311169386
2015-07-27 07:15:00+00:00,52.46911239624024,13.56728458404541,3.768679141998291,16.948449707031273,94.81031036376952,0.050714410841465,0.09351864457130432,99698.4609375,94.86102477461098
2015-07-27 07:45:00+00:00,52.46911239624024,13.56728458404541,3.684420108795166,16.594079589843773,86.08977508544922,0.02236163057386875,0.03747905045747757,99680.6484375,86.11213671602309
2015-07-27 08:15:00+00:00,52.46911239624024,13.56728458404541,3.139612197875977,16.313470458984398,56.11565399169922,1.2617153970495563e-06,1.840062964220124e-06,99651.8984375,56.115655253414616
2015-07-27 08:45:00+00:00,52.46911239624024,13.56728458404541,2.516375780105591,16.221978759765648,98.53815460205078,0.005431413650512695,0.0073708426207304,99633.8359375,98.5435860157013
2015-07-27 09:15:00+00:00,52.46911239624024,13.56728458404541,2.183367252349853,16.306848144531273,73.05677032470703,0.0004677303368225693,0.0006235187756828964,99613.84375,73.05723805504385
2015-07-27 09:45:00+00:00,52.46911239624024,13.56728458404541,2.362959623336792,16.311669921875023,30.62992858886719,5.5406471801688895e-06,6.959031452424823e-06,99599.9296875,30.62993412951437
2015-07-27 10:15:00+00:00,52.46911239624024,13.56728458404541,2.66619873046875,16.355523681640648,58.43086624145508,0.0011314062867313626,0.0013681724667549133,99590.0625,58.43199764774181
2015-07-27 10:45:00+00:00,52.46911239624024,13.56728458404541,2.345250606536865,17.056787109375023,225.44497680664062,9.809524536132812,11.744637489318848,99552.8359375,235.25450134277344
2015-07-27 11:15:00+00:00,52.46911239624024,13.56728458404541,2.5824224948883057,18.225366210937523,335.5626525878906,184.67132568359372,220.8447570800781,99508.0703125,520.2339782714844
2015-07-27 11:45:00+00:00,52.46911239624024,13.56728458404541,2.7649056911468506,19.267999267578148,215.1492919921875,487.5397033691406,587.2440185546875,99483.4765625,702.6889953613281
2015-07-27 12:15:00+00:00,52.46911239624024,13.56728458404541,2.6049573421478267,20.040826416015648,200.7544708251953,496.16339111328125,609.0859985351562,99476.5234375,696.9178619384766
2015-07-27 12:45:00+00:00,52.46911239624024,13.56728458404541,2.668994188308716,20.585443115234398,183.5246734619141,407.392333984375,515.6699829101561,99449.375,590.9170074462891
2015-07-27 13:15:00+00:00,52.46911239624024,13.56728458404541,2.772860527038574,21.048211669921898,231.77207946777344,313.86181640625,414.7361755371094,99445.390625,545.6338958740234
2015-07-27 13:45:00+00:00,52.46911239624024,13.56728458404541,3.150223970413208,19.754388427734398,201.3544158935547,9.786005020141602,13.830299377441404,99465.78125,211.1404209136963
2015-07-27 14:15:00+00:00,52.46911239624024,13.56728458404541,2.8210136890411377,19.903131103515648,164.85357666015625,6.22115421295166,9.245928764343262,99461.8828125,171.0747308731079
2015-07-27 14:45:00+00:00,52.46911239624024,13.56728458404541,3.1644933223724365,20.059808349609398,198.04733276367188,46.27285766601562,76.62299346923828,99452.46875,244.3201904296875
2015-07-27 15:15:00+00:00,52.46911239624024,13.56728458404541,2.8909428119659424,19.880426025390648,214.75901794433597,71.69850158691406,129.54901123046878,99437.03125,286.45751953125
2015-07-27 15:45:00+00:00,52.46911239624024,13.56728458404541,3.1651158332824707,20.682550048828148,142.42636108398438,17.10772705078125,36.93470764160156,99437.453125,159.53408813476562
2015-07-27 16:15:00+00:00,52.46911239624024,13.56728458404541,3.936278343200684,20.431726074218773,138.13185119628906,95.85313415527344,241.7480316162109,99458.3203125,233.9849853515625
2015-07-27 16:45:00+00:00,52.46911239624024,13.56728458404541,3.5183591842651367,19.768731689453148,80.6435546875,2.3378396034240723,6.97548246383667,99486.6484375,82.98139429092407
2015-07-27 17:15:00+00:00,52.46911239624024,13.56728458404541,3.874191045761109,19.864556884765648,63.58776092529297,2.130767107009888,9.022476196289062,99500.8984375,65.71852803230286
2015-07-27 17:45:00+00:00,52.46911239624024,13.56728458404541,3.419222593307495,19.658319091796898,54.63263702392578,1.9582462310791016,11.136087417602539,99506.0390625,56.59088325500488
2015-07-27 18:15:00+00:00,52.46911239624024,13.56728458404541,3.191351413726806,19.330621337890648,32.098487854003906,1.6953306198120115,15.719636917114258,99522.5703125,33.79381847381592
